Player,Squad,Age,Pos_clean,Comp,valor_real,valor_predicho,diferencia,diferencia_pct
Federico Baschirotto,Lecce,27.0,DF,it Serie A,4.6,12.594471840394414,7.994471840394414,1.7379286609553075
Nathan Collins,Brentford,23.0,DF,eng Premier League,29.000000000000004,65.0364898615973,36.0364898615973,1.2426375814343895
Obite N'Dicka,Roma,24.0,DF,it Serie A,31.0,31.563040687927245,0.5630406879272449,0.01816260283636274
Bryan Mbeumo,Brentford,24.0,FW,eng Premier League,56.00000000000002,173.15527710652404,117.15527710652401,2.0920585197593566
Amir Rrahmani,Napoli,30.0,DF,it Serie A,13.0,25.03275098432074,12.032750984320739,0.9255962295631337
Mohamed Salah,Liverpool,32.0,FW,eng Premier League,51.0,369.9342210082267,318.9342210082267,6.253612176631896
Moisés Caicedo,Chelsea,22.0,MF,eng Premier League,90.99999999999997,42.25800097441879,-48.74199902558118,-0.5356263629184747
Max Kilman,West Ham,27.0,DF,eng Premier League,26.000000000000004,31.421996256112088,5.4219962561120845,0.20853831754277244
Milos Kerkez,Bournemouth,20.0,DF,eng Premier League,46.0,59.88823772872693,13.888237728726928,0.30191821149406367
Nikola Milenković,Nott'ham Forest,26.0,DF,eng Premier League,36.0,19.636363280559358,-16.363636719440642,-0.4545454644289067
Giovanni Di Lorenzo,Napoli,30.0,DF,it Serie A,13.0,13.215519055205904,0.2155190552059043,0.01657838886199264
Dan Burn,Newcastle Utd,32.0,DF,eng Premier League,6.999999999999999,20.10335002209443,13.103350022094428,1.87190714601349
Virgil van Dijk,Liverpool,33.0,DF,eng Premier League,24.000000000000004,37.023110290476716,13.023110290476712,0.5426295954365296
Florian Lejeune,Rayo Vallecano,33.0,DF,es La Liga,3.5,7.794442798529503,4.294442798529503,1.2269836567227153
Cristhian Mosquera,Valencia,20.0,DF,es La Liga,31.0,24.34517185862425,-6.654828141375749,-0.21467187552824996
Joško Gvardiol,Manchester City,22.0,DF,eng Premier League,76.0,124.99406522652492,48.994065226524924,0.644658752980591
Bruno Guimarães,Newcastle Utd,26.0,MF,eng Premier League,81.00000000000003,45.01224806028944,-35.98775193971059,-0.4442932338235874
Mattéo Guendouzi,Lazio,25.0,MF,it Serie A,33.0,26.356156503596676,-6.643843496403324,-0.20132859080010074
Sebastiano Luperto,Cagliari,27.0,DF,it Serie A,4.999999999999999,10.367331204920415,5.367331204920416,1.0734662409840834
Daniel Muñoz,Crystal Palace,28.0,DF,eng Premier League,26.000000000000004,17.529069222164196,-8.470930777835807,-0.3258050299167618
Emmanuel Gyasi,Empoli,30.0,DF,it Serie A,2.4,5.687312989996755,3.2873129899967553,1.3697137458319815
Antonio Raillo,Mallorca,32.0,DF,es La Liga,2.8,7.179091428993358,4.379091428993358,1.563961224640485
Remo Freuler,Bologna,32.0,MF,it Serie A,6.0,7.022048145163832,1.022048145163832,0.1703413575273053
Antoine Semenyo,Bournemouth,24.0,FW,eng Premier League,41.00000000000001,67.9611249959093,26.961124995909294,0.6575884145343729
Cole Palmer,Chelsea,22.0,MF,eng Premier League,121.00000000000003,255.47213152951653,134.4721315295165,1.1113399299960038
Murillo,Nott'ham Forest,22.0,DF,eng Premier League,56.00000000000002,32.98603630584767,-23.013963694152352,-0.41096363739557756
Jesper Karlström,Udinese,29.0,MF,it Serie A,4.999999999999999,7.719976784826275,2.719976784826276,0.5439953569652553
Angeliño,Roma,27.0,DF,it Serie A,21.0,14.320242523258734,-6.6797574767412655,-0.3180836893686317
Jackson Tchatchoua,Hellas Verona,22.0,DF,it Serie A,9.000000000000002,13.941182233114217,4.9411822331142154,0.5490202481238016
Antonee Robinson,Fulham,26.0,DF,eng Premier League,36.0,31.618640565321815,-4.381359434678185,-0.12170442874106069
Ryan Gravenberch,Liverpool,22.0,MF,eng Premier League,76.0,51.82080850511239,-24.17919149488761,-0.3181472565116791
Aaron Wan-Bissaka,West Ham,26.0,DF,eng Premier League,24.999999999999996,28.825883086117386,3.82588308611739,0.15303532344469561
Omar El Hilali,Espanyol,20.0,DF,es La Liga,15.999999999999998,10.749032698203498,-5.2509673017965,-0.3281854563622813
Levi Colwill,Chelsea,21.0,DF,eng Premier League,56.00000000000002,100.72403477101513,44.724034771015106,0.7986434780538408
Gianluca Mancini,Roma,28.0,DF,it Serie A,15.999999999999998,12.100195494997333,-3.899804505002665,-0.2437377815626666
Tijjani Reijnders,Milan,26.0,MF,it Serie A,61.00000000000001,31.752872207997438,-29.24712779200257,-0.47946111134430436
Jay Idzes,Venezia,24.0,DF,it Serie A,8.5,15.539197088243633,7.0391970882436325,0.8281408339110156
Roberto Piccoli,Cagliari,23.0,FW,it Serie A,13.0,21.509090726742325,8.509090726742325,0.6545454405186404
Dara O'Shea,Ipswich Town,25.0,DF,eng Premier League,15.0,24.498412022493117,9.498412022493117,0.6332274681662078
Maxence Lacroix,Crystal Palace,24.0,DF,eng Premier League,26.000000000000004,22.080008028954964,-3.9199919710450395,-0.15076892196327074
Morgan Rogers,Aston Villa,22.0,FW,eng Premier League,56.00000000000002,78.58337054768437,22.583370547684346,0.40327447406579175
