Player,Squad,Age,Pos_clean,Comp,valor_real,valor_predicho,diferencia,diferencia_pct
Federico Baschirotto,Lecce,27.0,DF,it Serie A,4.6,9.372728,4.772728347778321,1.0375496408213742
Nathan Collins,Brentford,23.0,DF,eng Premier League,29.000000000000004,49.42118,20.421180725097653,0.7041786456930225
Obite N'Dicka,Roma,24.0,DF,it Serie A,31.0,30.890211,-0.10978889465332031,-0.0035415772468813003
Bryan Mbeumo,Brentford,24.0,FW,eng Premier League,56.00000000000002,64.58829,8.588287353515604,0.15336227416992143
Amir Rrahmani,Napoli,30.0,DF,it Serie A,13.0,11.1718645,-1.8281354904174805,-0.1406258069551908
Mohamed Salah,Liverpool,32.0,FW,eng Premier League,51.0,55.062096,4.062095642089844,0.07964893415862438
Moisés Caicedo,Chelsea,22.0,MF,eng Premier League,90.99999999999997,63.526993,-27.47300720214841,-0.301901178045587
Max Kilman,West Ham,27.0,DF,eng Premier League,26.000000000000004,28.674953,2.674953460693356,0.10288282541128291
Milos Kerkez,Bournemouth,20.0,DF,eng Premier League,46.0,49.297947,3.2979469299316406,0.0716944984767748
Nikola Milenković,Nott'ham Forest,26.0,DF,eng Premier League,36.0,28.448511,-7.551488876342773,-0.20976357989841038
Giovanni Di Lorenzo,Napoli,30.0,DF,it Serie A,13.0,12.344058,-0.6559419631958008,-0.050457074091984674
Dan Burn,Newcastle Utd,32.0,DF,eng Premier League,6.999999999999999,7.4331255,0.4331254959106454,0.061875070844377926
Virgil van Dijk,Liverpool,33.0,DF,eng Premier League,24.000000000000004,15.0013895,-8.998610496521,-0.37494210402170824
Florian Lejeune,Rayo Vallecano,33.0,DF,es La Liga,3.5,4.3248243,0.824824333190918,0.23566409519740514
Cristhian Mosquera,Valencia,20.0,DF,es La Liga,31.0,30.684841,-0.3151588439941406,-0.010166414322391633
Joško Gvardiol,Manchester City,22.0,DF,eng Premier League,76.0,72.16161,-3.8383865356445312,-0.05050508599532278
Bruno Guimarães,Newcastle Utd,26.0,MF,eng Premier League,81.00000000000003,64.8524,-16.14759826660159,-0.19935306501977265
Mattéo Guendouzi,Lazio,25.0,MF,it Serie A,33.0,37.77431,4.774311065673828,0.1446760928992069
Sebastiano Luperto,Cagliari,27.0,DF,it Serie A,4.999999999999999,7.705836,2.7058358192443857,0.5411671638488772
Daniel Muñoz,Crystal Palace,28.0,DF,eng Premier League,26.000000000000004,27.66852,1.6685199737548793,0.06417384514441843
Emmanuel Gyasi,Empoli,30.0,DF,it Serie A,2.4,4.2640862,1.8640862464904786,0.7767026027043661
Antonio Raillo,Mallorca,32.0,DF,es La Liga,2.8,3.6570082,0.8570081710815431,0.30607434681483686
Remo Freuler,Bologna,32.0,MF,it Serie A,6.0,5.5524645,-0.44753551483154297,-0.07458925247192383
Antoine Semenyo,Bournemouth,24.0,FW,eng Premier League,41.00000000000001,51.60646,10.606460571289055,0.25869416027534275
Cole Palmer,Chelsea,22.0,MF,eng Premier League,121.00000000000003,104.44167,-16.558326721191435,-0.13684567538174736
Murillo,Nott'ham Forest,22.0,DF,eng Premier League,56.00000000000002,31.925722,-24.07427787780764,-0.4298978192465648
Jesper Karlström,Udinese,29.0,MF,it Serie A,4.999999999999999,4.8979983,-0.10200166702270419,-0.02040033340454084
Angeliño,Roma,27.0,DF,it Serie A,21.0,19.006144,-1.993856430053711,-0.09494554428827195
Jackson Tchatchoua,Hellas Verona,22.0,DF,it Serie A,9.000000000000002,11.850518,2.8505182266235334,0.31672424740261473
Antonee Robinson,Fulham,26.0,DF,eng Premier League,36.0,36.62586,0.6258583068847656,0.017384952969021268
Ryan Gravenberch,Liverpool,22.0,MF,eng Premier League,76.0,52.63918,-23.360820770263672,-0.3073792206613641
Aaron Wan-Bissaka,West Ham,26.0,DF,eng Premier League,24.999999999999996,29.09117,4.091169357299808,0.16364677429199234
Omar El Hilali,Espanyol,20.0,DF,es La Liga,15.999999999999998,13.064413,-2.9355869293212873,-0.18347418308258048
Levi Colwill,Chelsea,21.0,DF,eng Premier League,56.00000000000002,48.435028,-7.564971923828146,-0.13508878435407398
Gianluca Mancini,Roma,28.0,DF,it Serie A,15.999999999999998,15.771447,-0.22855281829833807,-0.014284551143646131
Tijjani Reijnders,Milan,26.0,MF,it Serie A,61.00000000000001,45.05395,-15.946048736572273,-0.26141063502577494
Jay Idzes,Venezia,24.0,DF,it Serie A,8.5,12.306637,3.8066368103027344,0.4478396247414982
Roberto Piccoli,Cagliari,23.0,FW,it Serie A,13.0,23.427387,10.427387237548828,0.8021067105806791
Dara O'Shea,Ipswich Town,25.0,DF,eng Premier League,15.0,20.54212,5.542119979858398,0.3694746653238932
Maxence Lacroix,Crystal Palace,24.0,DF,eng Premier League,26.000000000000004,25.980555,-0.01944541931152699,-0.000747900742751038
Morgan Rogers,Aston Villa,22.0,FW,eng Premier League,56.00000000000002,58.64491,2.6449089050292756,0.047230516161237045
Rayan Aït-Nouri,Wolves,23.0,DF,eng Premier League,36.0,40.83361,4.833610534667969,0.13426695929633248
Illia Zabarnyi,Bournemouth,21.0,DF,eng Premier League,43.0,32.669296,-10.330703735351562,-0.24024892407794332
Morten Frendrup,Genoa,23.0,MF,it Serie A,21.0,14.002321,-6.997678756713867,-0.3332227979387556
Keane Lewis-Potter,Brentford,23.0,DF,eng Premier League,24.000000000000004,25.659346,1.6593456268310511,0.06913940111796045
Tyrick Mitchell,Crystal Palace,24.0,DF,eng Premier League,26.000000000000004,28.026472,2.026472091674801,0.07794123429518465
